*.lektorproject	INI
*.leo	Leo
*.less	Less
*.lex	Lex
*.lfe	LFE
*.lgt	Logtalk
*.lhs	Literate Haskell
*.libsonnet	Jsonnet
*.lid	Dylan
*.lidr	Idris
*.ligo	LigoLANG
*.linq	C#
*.liquid	Liquid
*.lisp	Common Lisp
*.lisp	NewLisp
*.litcoffee	Literate CoffeeScript
*.livecodescript	LiveCode Script
*.livemd	Markdown
*.lkml	LookML
*.ll	LLVM
*.lmi	Python
*.logtalk	Logtalk
*.lol	LOLCODE
*.lookml	LookML
*.lp	Answer Set Programming
*.lp	Linear Programming
*.lpr	Pascal
*.ls	LiveScript
*.ls	LoomScript
*.lsl	LSL
*.lslp	LSL
*.lsp	Common Lisp
*.lsp	NewLisp
*.ltx	TeX
*.lua	Lua
*.luau	Luau
*.lvclass	LabVIEW
*.lvlib	LabVIEW
*.lvproj	LabVIEW
*.ly	LilyPond
*.m	Limbo
*.m	M
*.m	MATLAB
*.m	Mercury
*.m	MUF
*.m	Objective-C
*.m	Wolfram Language
*.m2	Macaulay2
*.m3	Modula-3
*.m3u	M3U
*.m3u8	M3U
*.m4	M4
*.m4	M4Sugar
*.ma	Wolfram Language
*.mak	Makefile
*.make	Makefile
*.makefile	Makefile
*.mako	Mako
*.man	Roff
*.man	Roff Manpage
*.mao	Mako
*.markdown	Markdown
*.marko	Marko
*.mask	Mask
*.mask	Unity3D Asset
*.mat	Unity3D Asset
*.mata	Stata
*.matah	Stata
*.mathematica	Wolfram Language
*.matlab	MATLAB
*.mawk	Awk
*.maxhelp	Max
*.maxpat	Max
*.maxproj	Max
*.mbox	E-mail
*.mbt	MoonBit
*.mc	M4
*.mc	Monkey C
*.mc	Win32 Message File
*.mcfunction	mcfunction
*.mcmeta	JSON
*.mcr	MAXScript
*.md	GCC Machine Description
*.md	Markdown
*.md2	Checksums
*.md4	Checksums
*.md5	Checksums
*.mdoc	Roff
*.mdoc	Roff Manpage
*.mdown	Markdown
*.mdpolicy	XML
*.mdwn	Markdown
*.mdx	MDX
*.me	Roff
*.mediawiki	Wikitext
*.mermaid	Mermaid
*.meta	Unity3D Asset
*.metal	Metal
*.mg	Modula-3
*.minid	MiniD
*.mint	Mint
*.mir	YAML
*.mirah	Mirah
*.mjml	XML
*.mjs	JavaScript
*.mk	Makefile
*.mkd	Markdown
*.mkdn	Markdown
*.mkdown	Markdown
*.mkfile	Makefile
*.mkii	TeX
*.mkiv	TeX
*.mkvi	TeX
*.ml	OCaml
*.ml	Standard ML
*.ml4	OCaml
*.mli	OCaml
*.mligo	CameLIGO
*.mlir	MLIR
*.mll	OCaml
*.mly	OCaml
*.mm	Objective-C++
*.mm	XML
*.mmd	Mermaid
*.mmk	Module Management System
*.mms	Module Management System
*.mo	Modelica
*.mo	Motoko
*.mod	AMPL
*.mod	Linux Kernel Module
*.mod	Modula-2
*.mod	NMODL
*.mod	XML
*.mojo	Mojo
*.mojo	XML
*.monkey	Monkey
*.monkey2	Monkey
*.moo	Mercury
*.moo	Moocode
*.moon	MoonScript
*.move	Move
*.mpl	JetBrains MPS
*.mps	JetBrains MPS
*.mq4	MQL4
*.mq5	MQL5
*.mqh	MQL4
*.mqh	MQL5
*.mrc	mIRC Script
*.ms	MAXScript
*.ms	Roff
*.ms	Unix Assembly
*.msd	JetBrains MPS
*.msg	OMNeT++ MSG
*.msg	ROS Interface
*.mspec	Ruby
*.mss	CartoCSS
*.mt	Wolfram Language
*.mtl	Wavefront Material
*.mtml	MTML
*.mts	TypeScript
*.mu	mupad
*.mud	ZIL
*.muf	MUF
*.mumps	M
*.muse	Muse
*.mustache	Mustache
*.mxml	XML
*.mxt	Max
*.mysql	SQL
*.myt	Myghty
*.mzn	MiniZinc
*.n	Nemerle
*.n	Roff
*.nanorc	nanorc
*.nas	Assembly
*.nas	Nasal
*.nasl	NASL
*.nasm	Assembly
*.natvis	XML
*.nawk	Awk
*.nb	Text
*.nb	Wolfram Language
*.nbp	Wolfram Language
*.nc	nesC
*.ncl	Gerber Image
*.ncl	NCL
*.ncl	Nickel
*.ncl	Text
*.ncl	XML
*.ndproj	XML
*.ne	Nearley
*.nearley	Nearley
*.ned	OMNeT++ NED
*.neon	NEON
*.nf	Nextflow
*.nginx	Nginx
*.nginxconf	Nginx
*.ni	Inform 7
*.nim	Nim
*.nim.cfg	Nim
*.nimble	Nim
*.nimrod	Nim
*.nims	Nim
*.ninja	Ninja
*.nit	Nit
*.nix	Nix
*.njk	Nunjucks
*.njs	JavaScript
*.nl	NewLisp
*.nl	NL
*.nlogo	NetLogo
*.no	Text
*.nomad	HCL
*.nproj	XML
*.nqp	Raku
*.nr	Noir
*.nr	Roff
*.nse	Lua
*.nsh	NSIS
*.nsi	NSIS
*.nss	NWScript
*.nu	Nu
*.nu	Nushell
*.numpy	NumPy
*.numpyw	NumPy
*.numsc	NumPy
*.nuspec	XML
*.nut	Squirrel
*.ny	Common Lisp
*.ob2	Oberon
*.obj	Wavefront Object
*.objdump	ObjDump
*.odd	XML
*.odin	Object Data Instance Notation
*.odin	Odin
*.ol	Jolie
*.omgrofl	Omgrofl
*.ooc	ooc
*.opa	Opa
*.opal	Opal
*.opencl	OpenCL
*.orc	Csound
*.org	Org
*.os	1C Enterprise
*.osm	XML
*.OutJob	Altium Designer
*.overpassql	OverpassQL
*.owl	Web Ontology Language
*.ox	Ox
*.oxh	Ox
*.oxo	Ox
*.oxygene	Oxygene
*.oz	Oz
*.p	Gnuplot
*.p	OpenEdge ABL
*.p4	P4
*.p6	Raku
*.p6l	Raku
*.p6m	Raku
*.p8	Lua
*.pac	JavaScript
*.pact	Pact
*.pan	Pan
*.parrot	Parrot
*.pas	Pascal
